Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Navigation State
1;00:00:02;0;0;0;0;0;0;0;0;0;nothing
2;00:00:04;0;0;0;0;0;0;0;0;0;nothing
3;00:00:14;0;0;0;0;0;0;0;0;0;nothing
4;00:00:24;0;0;0;-1,512676;0,9193754;0,3147087;0;0;0;nothing
5;00:00:25;0;0;0;-1,493183;0,9102072;0,2235286;0;0;0;nothing
6;00:00:26;0;0;0;-1,47132;0,9123732;0,1795541;0;0;0;nothing
7;00:00:27;0;0;0;-1,461522;0,9152508;0,1656145;0;0;0;nothing
8;00:00:29;0;0;0;-1,460422;0,9165419;0,1669049;0;0;0;nothing
9;00:00:29;0;0;0;-1,45694;0,9178303;0,162719;0;0;0;nothing
10;00:00:31;0;0;0;-1,453125;0,9196463;0,1592984;0;0;0;nothing
11;00:00:32;0;0;0;-1,448757;0,9216347;0,1559989;0;0;0;nothing
12;00:00:33;0;0;0;-1,444576;0,923715;0,152606;0;0;0;nothing
13;00:00:34;0;0;0;-1,440951;0,9255915;0,1493284;0;0;0;nothing
14;00:00:35;0;0;0;-1,43611;0,9281173;0,1461455;0;0;0;nothing
15;00:00:36;0;0;0;-1,432608;0,9299905;0,1427928;0;0;0;nothing
16;00:00:37;0;0;0;-1,429161;0,9316334;0,1396155;0;0;0;nothing
17;00:00:38;0;0;0;-1,424234;0,933771;0,1371952;0;0;0;nothing
18;00:00:39;0;0;0;-1,420855;0,9352523;0,1344374;0;0;0;nothing
19;00:00:41;0;0;0;-1,417625;0,9368391;0,1319741;0;0;0;nothing
20;00:00:42;0;0;0;-1,413257;0,9394745;0,1301564;0;0;0;nothing
21;00:00:43;0;0;0;-1,410357;0,9419392;0,1281431;0;0;0;nothing
22;00:00:44;0;0;0;-1,407568;0,944752;0,1261676;0;0;0;nothing
23;00:00:45;0;0;0;-1,404826;0,948471;0,124822;0;0;0;nothing
24;00:00:46;0;0;0;-1,401819;0,9526548;0,124266;0;0;0;nothing
25;00:00:47;0;0;0;-1,399817;0,9562887;0,1236189;0;0;0;nothing
26;00:00:48;0;0;0;-1,397065;0,960372;0,1232507;0;0;0;nothing
27;00:00:49;0;0;0;-1,395377;0,9636416;0,122407;0;0;0;nothing
28;00:00:51;0;0;0;-1,394073;0,9671148;0,1219732;0;0;0;nothing
29;00:00:52;0;0;0;-1,392108;0,971621;0,1221138;0;0;0;nothing
30;00:00:53;0;0;0;-1,391277;0,9753526;0,1220615;0;0;0;nothing
31;00:00:54;0;0;0;-1,390534;0,9788682;0,1222096;0;0;0;nothing
32;00:00:55;0;0;0;-1,389148;0,9831388;0,1232013;0;0;0;nothing
33;00:00:56;0;0;0;-1,388796;0,9867147;0,1239414;0;0;0;nothing
34;00:00:57;0;0;0;-1,388718;0,990392;0,1249386;0;0;0;nothing
35;00:00:58;0;0;0;-1,38785;0,9949777;0,1265828;0;0;0;nothing
36;00:00:59;0;0;0;-1,387862;0,99879;0,1280971;0;0;0;nothing
